Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue
"$48,472 /yr (est.)",48472.0,Economic Development Assistant,0.0,1,1,"Powhatan County
3.7", VA,3.7,0,52.49002770083103,-1,-1,Private,-1,-1,-1,2.6,2.8,3.0,2.9,2.8,yr,4.824058459808882,6.865298840321142
"$53,320 /yr (est.)",53320.0,Sales Coordinator,1.0,2,0,"Graduate Palo Alto
3.7", CA,3.7,0,9.0,501 to 1000 Employees,2014,Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,3.6,3.4,3.7,3.3,3.5,yr,4.0,6.865298840321142
"$243,000 /yr (est.)",243000.0,Head of AI,0.0,1,0,"Sourcegraph
3.3", CA,3.3,0,10.0,201 to 500 Employees,2013,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.5,3.4,3.1,3.7,yr,3.0,6.865298840321142
"$82,408 /yr (est.)",82408.0,NetSuite Senior Assistant,2.0,1,1,"Deloitte
4.1", CA,4.1,0,173.0,10000+ Employees,1850,Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,yr,7.0,9.0
$62.50 /hr (est.),130000.0,"Course Developers (Part-Time), Professional and Continuing Education – Business & Leadership",5.0,1,1,"University of Washington
4.2", WA,4.2,0,162.0,10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.8,3.5,4.1,3.7,4.0,hr,7.0,7.0
"$235,875 /yr (est.)",235875.0,"Senior Staff Engineer, Java backend",0.0,1,0,"Samsung Research America
4.1", CA,4.1,0,35.0,1001 to 5000 Employees,1988,Subsidiary or Business Segment,Software Development,Information Technology,$25 to $100 million (USD),3.8,3.9,3.8,3.6,4.1,yr,5.0,6.865298840321142
"$84,756 /yr (est.)",84756.0,2023 PhD Graduate – Intelligent Autonomous Systems and Artificial Intelligence Engineer - KVM,0.0,1,-1,"Johns Hopkins Applied Physics Laboratory (APL)
4.2", MD,4.2,0,81.0,5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),4.1,4.0,4.2,3.6,4.4,yr,6.0,7.0
"$40,656 /yr (est.)",40656.0,Research Activity Support Services,5.0,1,0,"Alaka`ina Foundation Family of Companies
3.7", TX,3.7,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.1,3.8,3.6,3.6,3.3,yr,4.824058459808882,6.865298840321142
"$15,500 /yr (est.)",15500.0,Philadelphia Part Time Web Dev Lead Instructor,0.0,1,0,"The LaunchCode Foundation
4.2", PA,4.2,0,10.0,51 to 200 Employees,2013,Nonprofit Organization,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.4,4.2,3.7,4.2,yr,2.0,6.865298840321142
"$47,781 /yr (est.)",47781.0,New Teacher Developer to Support CTE (Part-Time 0.5 FTE) [ESSER Funded Position](SY23-24),2.9165900735294117,-1,-1,"Boston Public Schools
3.4", MA,3.4,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.6,3.9,3.1,2.8,3.0,yr,4.824058459808882,6.865298840321142
$16.70 /hr (est.),34736.0,Assistant Property Manager,2.0,2,0,"THF Housing Management Corporation
5.0", TX,5.0,0,52.49002770083103,-1,-1,Private,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,hr,4.824058459808882,6.865298840321142
"$109,061 /yr (est.)",109061.0,Principal Salesforce Solution Engineer,10.0,1,0,"CPI Security
3.8", NC,3.8,0,32.0,501 to 1000 Employees,1991,Private,Security & Protective,Management & Consulting,$25 to $100 million (USD),3.5,3.7,4.0,3.6,3.8,yr,4.0,6.865298840321142
"$57,500 /yr (est.)",57500.0,Commercial Lines Account Manager,0.0,2,1,Heaton Bennett Insurance, TX,3.8987957181088317,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,yr,4.824058459808882,6.865298840321142
"$119,883 /yr (est.)",119883.0,Registered Nurse - Supervisory Assistant Nurse Manager,5.0,1,0,"US Veterans Health Administration
3.7", TX,3.7,0,93.0,10000+ Employees,1930,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.6,4.0,3.4,3.0,3.6,yr,7.0,6.865298840321142
$23.28 /hr (est.),48422.4,Senior Plans Examiner,6.0,2,0,"City of Pasadena
3.4", TX,3.4,0,137.0,1001 to 5000 Employees,1886,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,2.7,3.3,2.9,2.5,2.7,hr,5.0,6.865298840321142
"$77,500 /yr (est.)",77500.0,Assistant Director of F&B,0.0,2,0,"Graduate Palo Alto
3.7", CA,3.7,0,9.0,501 to 1000 Employees,2014,Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,3.6,3.4,3.7,3.3,3.5,yr,4.0,6.865298840321142
"$212,500 /yr (est.)",212500.0,SENIOR LAND USE ATTORNEY,8.0,1,0,"Cairncross & Hempelmann, P.S.
3.5", WA,3.5,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.6,3.8,3.4,3.9,4.1,yr,4.824058459808882,6.865298840321142
"$116,355 /yr (est.)",116355.0,Superintendent,0.0,1,0,"Shangri-La Construction
4.7", CA,4.7,0,15.0,51 to 200 Employees,2008,Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,4.5,4.5,4.5,4.5,4.4,yr,2.0,6.865298840321142
"$95,626 /yr (est.)",95626.0,Construction Project Manager,5.0,1,0,"Shangri-La Construction
4.7", CA,4.7,0,15.0,51 to 200 Employees,2008,Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,4.5,4.5,4.5,4.5,4.4,yr,2.0,6.865298840321142
"$40,656 /yr (est.)",40656.0,Research Activity Support Services,2.9165900735294117,-1,-1,"Alaka`ina Foundation Family of Companies
3.7", TX,3.7,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.1,3.8,3.6,3.6,3.3,yr,4.824058459808882,6.865298840321142
"$15,500 /yr (est.)",15500.0,Philadelphia Part Time Web Dev Lead Instructor,2.9165900735294117,-1,-1,"The LaunchCode Foundation
4.2", PA,4.2,0,10.0,51 to 200 Employees,2013,Nonprofit Organization,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.4,4.2,3.7,4.2,yr,2.0,6.865298840321142
"$47,781 /yr (est.)",47781.0,New Teacher Developer to Support CTE (Part-Time 0.5 FTE) [ESSER Funded Position](SY23-24),0.0,1,0,"Boston Public Schools
3.4", MA,3.4,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.6,3.9,3.1,2.8,3.0,yr,4.824058459808882,6.865298840321142
"$105,524 /yr (est.)",105524.0,Genesys Developer,0.0,-1,-1,"PRO IT
5.0", NJ,5.0,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,yr,4.824058459808882,6.865298840321142
"$67,272 /yr (est.)",67272.0,"Drupal Web Developer (Des Moines, IA, Hybrid)",8.0,1,-1,"Stage 4 Solutions Inc
4.6", IA,4.6,0,22.0,51 to 200 Employees,2001,Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.6,4.1,4.5,4.6,4.5,yr,2.0,3.0
$15.00 /hr (est.),31200.0,Web Developer / SEO / IT Specialist,1.0,1,1,Helping Properties Abq, NM,3.8987957181088317,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,hr,4.824058459808882,6.865298840321142
"$87,916 /yr (est.)",87916.0,"Software Developer, Intermediate",2.0,1,-1,"Aveshka, Inc.
3.3", VA,3.3,0,13.0,51 to 200 Employees,2010,Public,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.0,3.6,3.0,3.0,3.4,yr,2.0,3.0
"$62,500 /yr (est.)",62500.0,Drupal Web Developer,8.0,1,-1,"OpenKnect, Inc.", IA,3.8987957181088317,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,yr,4.824058459808882,6.865298840321142
$70.45 /hr (est.),146536.0,Omni Channel developer,2.9165900735294117,-1,-1,"Formac Inc
4.2",Remote,4.2,1,10.0,51 to 200 Employees,2013,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.7,3.9,4.1,3.9,hr,2.0,6.865298840321142
$60.34 /hr (est.),125507.2,Accessibility Analyst,5.0,2,1,"COMTEC INFORMATION SYSTEMS
4.6",Remote,4.6,1,27.0,501 to 1000 Employees,1996,Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.6,4.3,4.4,4.6,4.6,hr,4.0,6.865298840321142
"$73,501 /yr (est.)",73501.0,RPA Developer - Solution Analyst,1.0,1,-1,"Deloitte
4.1", FL,4.1,0,173.0,10000+ Employees,1850,Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,yr,7.0,9.0
"$106,753 /yr (est.)",106753.0,UX Developer,6.0,2,1,"TAA Solutions LLC
5.0", MD,5.0,0,52.49002770083103,-1,-1,Private,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,yr,4.824058459808882,6.865298840321142
"$69,739 /yr (est.)",69739.0,Drupal Web Developer- Hybrid Role,2.9165900735294117,-1,-1,"ARK Solutions
4.5", IA,4.5,0,20.0,201 to 500 Employees,2003,Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.3,4.0,4.1,4.2,3.9,yr,3.0,6.865298840321142
"$104,156 /yr (est.)",104156.0,Senior Web Developer,8.0,1,1,"Veridian Credit Union
4.3", IA,4.3,0,89.0,501 to 1000 Employees,1934,Self-employed,Banking & Lending,Financial Services,$100 to $500 million (USD),4.1,4.2,4.4,4.0,3.9,yr,4.0,6.0
"$73,302 /yr (est.)",73302.0,Full Stack Developer,6.0,1,-1,"Pediatric Associates
3.2", FL,3.2,0,68.0,1001 to 5000 Employees,1955,Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.3,2.8,3.1,2.8,3.3,yr,5.0,6.865298840321142
$70.45 /hr (est.),146536.0,Omni Channel developer,3.0,1,-1,"Formac Inc
4.2",Remote,4.2,1,10.0,51 to 200 Employees,2013,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.7,3.9,4.1,3.9,hr,2.0,6.865298840321142
"$104,000 /yr (est.)",104000.0,Artificial Intelligence Programmer,0.0,1,-1,"Noble Public Adjusting Group
3.7", GA,3.7,0,7.0,1 to 50 Employees,2016,Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,3.7,4.0,3.6,3.5,3.5,yr,1.0,6.865298840321142
"$97,557 /yr (est.)",97557.0,AI Integration Developer,0.0,2,1,"American Heritage Credit Union
3.4", PA,3.4,0,75.0,501 to 1000 Employees,1948,Private,Banking & Lending,Financial Services,$1 to $5 billion (USD),3.1,3.3,3.8,3.1,3.1,yr,4.0,7.0
$52.50 /hr (est.),109200.0,Drupal Web Developer (711979) on W2,10.0,1,-1,"infinite Computing Systems
3.5", IA,3.5,0,24.0,1001 to 5000 Employees,1999,Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.5,3.2,3.4,3.2,3.5,hr,5.0,6.0
$87.50 /hr (est.),182000.0,Curriculum Writer/SME - AI,3.0,1,1,"Chegg
4.1",Remote,4.1,1,18.0,1001 to 5000 Employees,2005,Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),3.7,3.8,3.9,3.7,4.1,hr,5.0,7.0
"$73,919 /yr (est.)",73919.0,Product Owner | Chatbot,0.0,1,0,"AccelerEd
2.6", MD,2.6,0,6.0,51 to 200 Employees,2017,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,2.3,3.5,2.3,2.1,3.2,yr,2.0,6.865298840321142
"$140,645 /yr (est.)",140645.0,"Senior UX Designer, Digital Assist, Hybrid/Remote US-based",0.0,1,1,"Autodesk
4.2", CA,4.2,0,41.0,10000+ Employees,1982,Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),3.8,4.1,4.3,3.8,4.2,yr,7.0,7.0
"$78,296 /yr (est.)",78296.0,Drupal Web Developer,8.0,1,-1,"Lucid Technologies Inc
4.4", IA,4.4,0,19.0,51 to 200 Employees,2004,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.4,4.4,4.4,4.5,4.5,yr,2.0,6.865298840321142
"$74,611 /yr (est.)",74611.0,RPA Developer - UiPath - Solution Specialist,3.0,1,1,"Deloitte
4.1", PA,4.1,0,173.0,10000+ Employees,1850,Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,yr,7.0,9.0
"$89,399 /yr (est.)",89399.0,Senior Conversational AI and VUI Designer & Developer,2.0,2,1,"Rulai, Inc.
2.7", CA,2.7,0,52.49002770083103,-1,-1,Private,-1,-1,-1,1.4,2.3,2.4,2.4,4.6,yr,4.824058459808882,6.865298840321142
"$102,160 /yr (est.)",102160.0,Lead Front-End Developer (React),5.0,2,0,"Voicify
5.0", MA,5.0,0,52.49002770083103,-1,-1,Private,-1,-1,-1,4.5,4.5,5.0,5.0,5.0,yr,4.824058459808882,6.865298840321142
"$62,188 /yr (est.)",62188.0,Business Analyst,6.0,1,-1,"Arizona State University
4.2", AZ,4.2,0,138.0,10000+ Employees,1885,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.0,3.5,4.2,3.9,4.0,yr,7.0,7.0
"$78,955 /yr (est.)",78955.0,Robotic Process Automation Developer,0.0,2,1,"American Heritage Credit Union
3.4", PA,3.4,0,75.0,501 to 1000 Employees,1948,Private,Banking & Lending,Financial Services,$1 to $5 billion (USD),3.1,3.3,3.8,3.1,3.1,yr,4.0,7.0
"$144,501 /yr (est.)",144501.0,Intelligent Automation Engineer and ABBYY Developer,5.0,1,-1,"Spotify
4.0", NY,4.0,0,17.0,5001 to 10000 Employees,2006,Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.6,3.8,4.2,3.4,4.4,yr,6.0,6.865298840321142
"$96,384 /yr (est.)",96384.0,Sr Business Analyst | TX,0.0,1,1,"Photon
3.9", TX,3.9,0,16.0,5001 to 10000 Employees,2007,Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.8,3.7,3.7,3.7,yr,6.0,6.0
"$133,500 /yr (est.)",133500.0,Salesforce Einstein Bot Developer (REMOTE),3.0,2,0,"GEICO
3.0", MD,3.0,0,87.0,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),3.3,3.5,2.9,2.6,2.7,yr,7.0,9.0
"$82,154 /yr (est.)",82154.0,Sr. Java Developer (UI),0.0,2,1,Konviere Corporation, MO,3.8987957181088317,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,yr,4.824058459808882,6.865298840321142
"$100,158 /yr (est.)",100158.0,Programmer/Developer Lead - Dialogue Flow developer,2.0,2,1,"Capgemini
3.8", NY,3.8,0,56.0,10000+ Employees,1967,Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),3.8,3.5,3.9,3.4,3.8,yr,7.0,9.0
"$223,000 /yr (est.)",223000.0,"Vice President, Product Owner - RPA and Chatbot",10.0,1,1,"Prudential
3.8", NJ,3.8,0,148.0,10000+ Employees,1875,Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.6,3.8,3.8,3.4,3.9,yr,7.0,9.0
"$130,000 /yr (est.)",130000.0,Lead Front-End Developer,8.0,1,1,"Nutrafol
3.4", NY,3.4,0,10.0,51 to 200 Employees,2013,Self-employed,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable,3.4,3.9,3.6,3.5,3.5,yr,2.0,6.865298840321142
"$100,000 /yr (est.)",100000.0,Business Systems Administrator,5.0,1,1,"Constellation Software
4.0",Remote,4.0,1,28.0,10000+ Employees,1995,Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),3.6,3.8,3.6,3.2,3.7,yr,7.0,7.0
"$62,500 /yr (est.)",62500.0,Assistant Director of Online User Experience,0.0,1,0,"Capitol Technology University
3.8", MD,3.8,0,96.0,51 to 200 Employees,1927,College / University,Colleges & Universities,Education,$5 to $25 million (USD),3.7,3.4,3.7,3.6,3.8,yr,2.0,3.0
"$52,500 /yr (est.)",52500.0,Trade Show Assistant,4.0,1,0,"The Association for Packaging and Processing Technologies
4.0", VA,4.0,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,yr,4.824058459808882,6.865298840321142
$37.50 /hr (est.),78000.0,IT/Subject Matter Expert,10.0,1,1,"DONIA LLC
4.0", MD,4.0,0,52.49002770083103,-1,-1,Private,-1,-1,-1,1.0,3.0,2.0,1.0,5.0,hr,4.824058459808882,6.865298840321142
"$118,500 /yr (est.)",118500.0,Implementation Manager,2.0,1,1,"Moveworks.ai
3.8",Remote,3.8,1,7.0,501 to 1000 Employees,2016,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.7,4.0,3.6,3.5,3.2,yr,4.0,6.865298840321142
"$119,700 /yr (est.)",119700.0,Sr. Web Marketing Manager - Remote,6.0,1,1,"Accruent
3.9", TX,3.9,0,28.0,1001 to 5000 Employees,1995,Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.9,3.8,3.9,3.6,4.1,yr,5.0,6.0
"$84,644 /yr (est.)",84644.0,ServiceNow Developer,8.0,1,1,"Plaxonic Technologies
4.6", TX,4.6,0,10.0,51 to 200 Employees,2013,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.4,4.2,4.7,4.4,4.4,yr,2.0,2.0
"$151,950 /yr (est.)",151950.0,Senior Service Now Developer (Hybrid),8.0,1,1,"Citi
3.9", TX,3.9,0,211.0,10000+ Employees,1812,Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.9,3.8,3.8,3.5,3.5,yr,7.0,9.0
"$108,676 /yr (est.)",108676.0,Senior Business Applications Analyst- Omnichannel,2.9165900735294117,-1,-1,"Orlando Utilities Commission
3.0", FL,3.0,0,100.0,1001 to 5000 Employees,1923,Government,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD),2.7,3.7,2.8,2.3,2.9,yr,5.0,7.0
"$178,982 /yr (est.)",178982.0,Lead C++ Software Engineer,7.0,1,1,"JustAnswer
4.5", CA,4.5,0,20.0,501 to 1000 Employees,2003,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.2,4.4,4.5,4.3,4.4,yr,4.0,6.865298840321142
"$102,500 /yr (est.)",102500.0,Applications Analyst III - (MyChart/Application Engineer) MSH/SSVS - Digital and Technology Partners,3.0,1,1,"Mount Sinai
3.5", NY,3.5,0,10.0,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.4,3.2,2.9,3.2,yr,7.0,7.0
"$89,012 /yr (est.)",89012.0,Implementation Manager US (Central and Eastern),2.9165900735294117,-1,-1,"Eltropy
4.7", GA,4.7,0,10.0,51 to 200 Employees,2013,Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),4.7,4.5,4.7,4.6,4.5,yr,2.0,3.0
$8.50 /hr (est.),17680.0,"Contact Center Platform Developer - C60313 6.8 New York, NY",5.0,2,-1,CapB InfoteK, NY,3.8987957181088317,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,hr,4.824058459808882,6.865298840321142
"$102,500 /yr (est.)",102500.0,Applications Analyst III - (MyChart/Application Engineer) MSH/SSVS - Digital and Technology Partners,2.9165900735294117,-1,-1,"Mount Sinai
3.5", NY,3.5,0,10.0,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.4,3.2,2.9,3.2,yr,7.0,7.0
"$79,900 /yr (est.)",79900.0,"Product Manager, IVR Phone Strategy",0.0,1,1,"DISH
3.1", CO,3.1,0,43.0,10000+ Employees,1980,Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),3.2,3.0,2.9,2.8,2.8,yr,7.0,9.0
"$115,000 /yr (est.)",115000.0,ServiceNow Developer,8.0,1,1,"Plaxonic
4.6", TX,4.6,0,10.0,51 to 200 Employees,2013,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.4,4.2,4.7,4.4,4.4,yr,2.0,2.0
"$84,260 /yr (est.)",84260.0,"Product Line Manager, Customer Experience",10.0,1,1,"Teco Energy
3.8", FL,3.8,0,124.0,1001 to 5000 Employees,1899,Subsidiary or Business Segment,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),3.7,3.8,3.7,3.6,3.5,yr,5.0,7.0
"$102,500 /yr (est.)",102500.0,Applications Analyst III - QA Analyst - Epic MyChart - MSH SSVS - Digital and Technology Partners,3.0,1,1,"Mount Sinai
3.5", NY,3.5,0,10.0,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.4,3.2,2.9,3.2,yr,7.0,7.0
"$106,810 /yr (est.)",106810.0,Product Design & Excellence - Product Designers (Sr Manager),10.0,1,1,"PepsiCo
4.0", TX,4.0,0,58.0,10000+ Employees,1965,Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.6,3.5,yr,7.0,9.0
"$111,409 /yr (est.)",111409.0,Senior Lead Software Engineer - SAP Techno-functional,8.0,1,1,"JPMorgan Chase Bank, N.A.
3.8", IL,3.8,0,224.0,10000+ Employees,1799,Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,yr,7.0,9.0
"$76,201 /yr (est.)",76201.0,Technical Support Manager,3.0,2,1,"Hearst Media Services
3.7", GA,3.7,0,136.0,10000+ Employees,1887,Private,Publishing,Media & Communication,$10+ billion (USD),3.5,3.5,3.7,3.4,3.6,yr,7.0,9.0
"$107,430 /yr (est.)",107430.0,VP RPA Services Delivery Manager (Onsite),0.0,1,1,"Bancorp Bank, The
3.8", DE,3.8,0,24.0,501 to 1000 Employees,1999,Public,Banking & Lending,Financial Services,$100 to $500 million (USD),3.3,3.6,3.9,3.8,3.9,yr,4.0,6.0
"$255,000 /yr (est.)",255000.0,Enterprise SaaS Account Executive - CA,3.0,1,1,"Pryon Incorporated
5.0",Remote,5.0,1,6.0,1 to 50 Employees,2017,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,yr,1.0,6.865298840321142
"$115,501 /yr (est.)",115501.0,"Senior Manager 1, Solution Architecture - DAS Project Omnia",10.0,1,1,"Deloitte
4.1", TN,4.1,0,173.0,10000+ Employees,1850,Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,yr,7.0,9.0
"$114,512 /yr (est.)",114512.0,"Manager, Solution Architect - DAS Project Omnia",6.0,1,1,"Deloitte
4.1", TN,4.1,0,173.0,10000+ Employees,1850,Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,yr,7.0,9.0
"$255,000 /yr (est.)",255000.0,Federal Saas Account Executive,10.0,1,1,"Pryon Incorporated
5.0",Remote,5.0,1,6.0,1 to 50 Employees,2017,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,yr,1.0,6.865298840321142
"$84,260 /yr (est.)",84260.0,"Product Line Manager, Customer Experience",2.9165900735294117,-1,-1,"Teco Energy
3.8", FL,3.8,0,124.0,1001 to 5000 Employees,1899,Subsidiary or Business Segment,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),3.7,3.8,3.7,3.6,3.5,yr,5.0,7.0
"$115,501 /yr (est.)",115501.0,"Senior Manager 1, Solution Architecture - DAS Project Omnia",10.0,1,1,"Deloitte
4.1", TN,4.1,0,52.49002770083103,-1,-1,Private,-1,-1,-1,4.3,3.8,4.0,3.8,3.3,yr,4.824058459808882,6.865298840321142
"$255,000 /yr (est.)",255000.0,-1,2.9165900735294117,-1,-1,-1,LA,3.8987957181088317,0,6.0,1 to 50 Employees,2017,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,yr,1.0,6.865298840321142
"$79,900 /yr (est.)",79900.0,"Product Manager, IVR Phone Strategy",2.9165900735294117,-1,-1,"DISH
3.1", CO,3.1,0,43.0,10000+ Employees,1980,Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),3.2,3.0,2.9,2.8,2.8,yr,7.0,9.0
"$102,500 /yr (est.)",102500.0,Applications Analyst III - QA Analyst - Epic MyChart - MSH SSVS - Digital and Technology Partners,2.9165900735294117,-1,-1,-1, NY,3.5,0,10.0,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.4,3.2,2.9,3.2,yr,7.0,7.0
"$102,500 /yr (est.)",102500.0,Applications Analyst III - QA Analyst - Epic MyChart - MSH SSVS - Digital and Technology Partners,10.0,1,1,"Mount Sinai
3.5", NY,3.5,0,10.0,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.4,3.2,2.9,3.2,yr,7.0,7.0
$24.00 /hr (est.),49920.0,"PT Field Consultant I - Monterey/Santa Cruz County, CA",0.0,1,1,"EXL Services
3.8", CA,3.8,0,24.0,10000+ Employees,1999,Public,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),3.7,3.3,3.6,3.5,3.7,hr,7.0,7.0
"$79,768 /yr (est.)",79768.0,E T Consultant,3.0,1,1,"World Bank Group
4.1", DC,4.1,0,52.49002770083103,-1,-1,Private,-1,-1,-1,3.7170687711386696,3.7512063134160085,3.8269673055242386,3.5513416009019165,3.770101465614431,yr,4.824058459808882,6.865298840321142
"$117,378 /yr (est.)",117378.0,AI Data Science Senior Consultant,5.0,1,0,"Deloitte
4.1", VA,4.1,0,173.0,10000+ Employees,1850,Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,yr,7.0,9.0
"$107,500 /yr (est.)",107500.0,Business Development Consultant,3.0,2,1,"Fountain Life
3.9",Remote,3.9,1,52.49002770083103,-1,-1,Private,-1,-1,-1,4.3,4.2,5.0,4.5,4.7,yr,4.824058459808882,6.865298840321142
$47.50 /hr (est.),98800.0,Aid Information Management System (AIMS) Expert - Consultant,10.0,1,1,"Development Gateway
4.1",Remote,4.1,1,22.0,1 to 50 Employees,2001,Nonprofit Organization,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.6,3.6,4.0,3.3,3.8,hr,1.0,3.0
"$263,005 /yr (est.)",263005.0,"Director, IT Strategy Consulting",10.0,1,1,"Kyndryl, Inc.
3.9", AZ,3.9,0,2.0,10000+ Employees,2021,Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.4,3.9,3.4,3.9,yr,7.0,6.865298840321142
